"运动路径","Motion_paths"
"INVOKE_DEFAULT","INVOKE_DEFAULT"
"路径跟踪器","Path_tracker"
"路径骨骼","Path_Bone"
"更新路径","UPdate_Path"
"删除路径","delet_path"
"从选定的骨骼或对象中删除所有路径","delete all path from selected bone or object"
"删除所有路径","Delet_All-path"
"在关键帧移动后自动更新运动路径","Auto-update motion paths after keyframe movement"
"自动更新运动路径（改进）","Auto Update Motion Paths (Improved)"
"激活自动更新","Activate Auto Update"
"停用自动更新","Deactivate Auto Update"
"自动更新运动路径","Auto Update Motion Paths"
"更新模式","Update Mode"
"计时器间隔","Timer Interval"
"自动更新计时器的间隔秒数","Interval in seconds for the auto-update timer"
"选择基于计时器和基于事件的更新模式","Choose between timer-based and event-based update modes"
