"无","None"
"将选定的输出添加到合成器","Adds selected output to compositor"
"添加输出","Add Output"
"将选定的输入添加到合成器","Adds selected input to compositor"
"添加输入","Add Input"
"将选定的着色器添加到合成器","Adds selected Shader to compositor"
"添加节点","Add Node"
"选择输入","Select Input"
"输入","Input"
"输出","Output"
"缩放","Zoom"
"适配预览","Fit Preview"
"细节","Detail"
"颜色","Color"
"调整","Adjust"
"滤镜","Filters"
"相机","Camera"
"变换","Transform"
"发光","Glow"
"修改","Modify"
"调用快捷菜单","Invoke the pie menu from shortcut"
"调用快捷菜单","Calls pie menu"
"COMPOSITOR_MT_postfx_input","COMPOSITOR_MT_postfx_input"
"保存图像","Save Image"
"保存输出","Save Output"
"POSTFX_输出","POSTFX_Output"
"添加/删除图层","Add / Remove Layers"
"移动图层","Shift Layers"
"名称","Name"
"图标","Icon"
"分类","Category"
"类型","Type"
"可见","Visible"
"可见性","Visibility"
"刷新输出","Refresh Output"
"后期特效","Post FX"
"输入图层未分配","Input Layer Unassigned"
"属性","Properties"
"刷新","Refresh"
"重新渲染","Re-Render"
"仅支持 Cycles / Eevee","Only Cycles / Eevee supported"
"启用节点","Enable Nodes"
"调用快捷菜单","Invoke Pie Menu"
"自动优化预览","Auto Optimize Preview"
"设置性能和视口的最佳设置","Sets optimal settings for performance and viewport"
"自动插入","Auto Insertion"
"在活动节点和连接的输出之间插入新节点","Inserts new nodes between the active node and connected output"
"自动刷新","Auto Refresh"
"是否自动刷新图像编辑器更新","Whether to automatically refresh image editor updates"
"调用后期特效快捷键","Invoke Post FX Shortcut"
"节点编辑器","Node Editor"
"活动图层","Active Layer"
"活动图层ID","Active Layer ID"
