"批量更改作者","Bulk Change Author"
"更改作者","Change Author"
"新作者","New Author"
"INVOKE_DEFAULT","INVOKE_DEFAULT"
"批量清除资产","Bulk Clear Asset"
"清除资产标记","Clear Asset Marking"
"这将清除 ","This will clear "
"按 ESC 取消","Press ESC to cancel"
"批量更改版权","Bulk Change Copyright"
"更改版权","Change Copyright"
"新版权","New Copyright"
"批量更改说明","Bulk Change Description"
"更改说明","Change Description"
"新说明","New Description"
"批量更改许可证","Bulk Change License"
"更改许可证","Change License"
"新许可证","New License"
"将资产移至目录","Move Assets to a Catalog"
"资产移动","Asset Mover"
"目的地目录","Destination Catalog"
"批量重命名","Bulk Rename"
"重命名","Rename"
"文本","Text"
"最大线程数","Max Threads"
"在后台模式下运行子进程","Run child processes in background mode"
"使用出厂默认启动","Use factory default startup"
"以出厂默认模式运行子进程","Run child processes in factory default mode"
"批量资产工具：","Bulk Asset Tools:"
"--防止在子进程中加载其他插件。","--Prevents other addons from loading in child processes."
"批量添加标签","Bulk Add Tag"
"添加标签","Add Tag"
"添加标签","Tag to Add"
"批量复制标签","Bulk Copy Tag"
"复制标签","Copy Tag"
"复制标签","Tag to Copy"
"批量删除标签","Bulk Remove Tag"
"删除标签","Remove Tag"
"标签移除","Tag to Remove"
